Title,Price,source_file,model,storage,carrier,condition
NEW LISTINGApple iPhone 11 Pro Max(A2161) 64GB Space Gray Unlocked Gsm Good-SEE DESCRIPTION,310.25,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,UNLOCKED,NEW
Apple iPhone 11 Pro Max (A2161) 64GB Space Gray Unlocked Gsm EXCELLENT,361.25,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,UNLOCKED,EXCELLENT
NEW LISTINGApple iPhone 11 Pro Max(A2161) 64GB Space Gray Unlocked Gsm Fair-SEE DESCRIPTION,306.0,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,UNLOCKED,NEW
Apple iPhone 11 Pro Max 256GB Unlocked Smartphone - Very Good,412.95,ebay_iphone_11_pro_max.csv,11 PRO MAX,256GB,UNLOCKED,GOOD
Apple iPhone 11 Pro Max 64GB Unlocked Smartphone - Excellent,412.95,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,UNLOCKED,EXCELLENT
Apple iPhone 11 Pro Max - 64GB - Space Gray Unlocked Cracked Lcd Screen Back #16,239.95,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,UNLOCKED,FAIR
Broken Unlocked Apple iPhone 11 Pro Max 512GB 15.5.1 Gold MWHA2LL/A Cracked,274.99,ebay_iphone_11_pro_max.csv,11 PRO MAX,512GB,UNLOCKED,FAIR
NEW Apple iPhone 11 Pro Max 64GB Green Verizon iOS Smartphone A2161 CDMA + GSM,469.99,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,LOCKED,NEW
Apple iPhone 11 Pro Max 64GB AT&T Smartphone (Green) - Very Good B,334.99,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,LOCKED,GOOD
Apple iPhone 11 Pro Max 64GB AT&T Smartphone (Green) - Good - C,329.99,ebay_iphone_11_pro_max.csv,11 PRO MAX,64GB,LOCKED,GOOD
Apple iPhone 11 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Good Condition,399.99,ebay_iphone_11_pro_max.csv,11 PRO MAX,256GB,UNLOCKED,GOOD
